time_utc,latitude_deg,longitude_deg,altitude_km
2025-10-18 01:05:56.197337+00:00,-0.014149735802457904,-1.0184990888608876,35788.04354590278
2025-10-18 02:05:56.197337+00:00,-0.017986303014736513,-1.0200721507617956,35788.5938369271
2025-10-18 03:05:56.197337+00:00,-0.020612320185287254,-1.0219972029186974,35789.02245765293
2025-10-18 04:05:56.197337+00:00,-0.02184903395318169,-1.0241765001820555,35789.29992536297
2025-10-18 05:05:56.197337+00:00,-0.02161172776627155,-1.0264949652149302,35789.40711208217
2025-10-18 06:05:56.197337+00:00,-0.019915475502977512,-1.0288280141158959,35789.33655329864
2025-10-18 07:05:56.197337+00:00,-0.016874127034154154,-1.03105002403328,35789.0929585136
2025-10-18 08:05:56.197337+00:00,-0.012692599138418104,-1.0330428880907168,35788.69288880142
2025-10-18 09:05:56.197337+00:00,-0.0076529964851885105,-1.0347040734050004,35788.1636234289
2025-10-18 10:05:56.197337+00:00,-0.002095503366822685,-1.0359536455429492,35787.54129276879
2025-10-18 11:05:56.197337+00:00,0.0036046598057214788,-1.0367397760466837,35786.868404885114
2025-10-18 12:05:56.197337+00:00,0.00906265404526617,-1.0370423469121521,35786.19093467987
2025-10-18 13:05:56.197337+00:00,0.01391008940583656,-1.0368743901101631,35785.55517459506
2025-10-18 14:05:56.197337+00:00,0.01781997210910813,-1.0362812466365843,35785.00456245898
2025-10-18 15:05:56.197337+00:00,0.020528834388199753,-1.0353374881965396,35784.57670393218
2025-10-18 16:05:56.197337+00:00,0.021854540494687838,-1.0341418042868866,35784.30079395317
2025-10-18 17:05:56.197337+00:00,0.02170855688622977,-1.032810206355842,35784.19561440477
2025-10-18 18:05:56.197337+00:00,0.020101853720746125,-1.0314680205723266,35784.26824577966
2025-10-18 19:05:56.197337+00:00,0.017144042194335914,-1.0302412329117887,35784.51358154508
2025-10-18 20:05:56.197337+00:00,0.013035817181744312,-1.029247804587932,35784.91467861379
2025-10-18 21:05:56.197337+00:00,0.008055234047064786,-1.0285895553615438,35785.443919831814
2025-10-18 22:05:56.197337+00:00,0.0025387697698495766,-1.0283451861092996,35786.064908392626
2025-10-18 23:05:56.197337+00:00,-0.003141527973892076,-1.0285649169085302,35786.73496381521
2025-10-19 00:05:56.197337+00:00,-0.00860323878540693,-1.0292670998557425,35787.40804788894
