time_utc,latitude_deg,longitude_deg,altitude_km,B_total_μT
2025-10-19 08:09:19.972425+00:00,-0.009348286637365446,-1.0048954597218323,35787.32076833133,0.10647319533752844
2025-10-19 09:09:19.972425+00:00,-0.005004149056940769,-1.0057261564220292,35786.72633899108,0.10647868240371393
2025-10-19 10:09:19.972425+00:00,-0.0003144360939506932,-1.0061105064806375,35786.07486961669,0.10648455223851874
2025-10-19 11:09:19.972425+00:00,0.004413653482977146,-1.0060233109722843,35785.41086846209,0.10649040672701043
2025-10-19 12:09:19.972425+00:00,0.008868987202623326,-1.0054716117193574,35784.779707011636,0.10649584801522981
2025-10-19 13:09:19.972425+00:00,0.012756905756352136,-1.0044942500263527,35784.22451092021,0.10650050568679956
2025-10-19 14:09:19.972425+00:00,0.01581866980284533,-1.0031592390822817,35783.783203807034,0.10650406220819898
2025-10-19 15:09:19.972425+00:00,0.017848664554558972,-1.001559118619342,35783.48590676126,0.10650627485647916
2025-10-19 16:09:19.972425+00:00,0.01870821631926164,-0.999804606187746,35783.3528722758,0.10650699256384834
2025-10-19 17:09:19.972425+00:00,0.01833508892441691,-0.9980169814819303,35783.39309474497,0.1065061664587739
2025-10-19 18:09:19.972425+00:00,0.016748005900424412,-0.996319732638978,35783.60369319558,0.10650385333026872
2025-10-19 19:09:19.972425+00:00,0.014045868402678234,-0.9948300477673296,35783.97010877773,0.10650021175561186
2025-10-19 20:09:19.972425+00:00,0.010401687504571978,-0.9936507465241918,35784.46710342297,0.10649549116863725
2025-10-19 21:09:19.972425+00:00,0.006051599115198497,-0.9928632143562176,35785.060490911725,0.1064900146595353
2025-10-19 22:09:19.972425+00:00,0.001279656606655916,-0.9925218283346625,35785.709481221056,0.10648415674410816
2025-10-19 23:09:19.972425+00:00,-0.0036006218578381803,-0.9926502561626471,35786.36947697881,0.10647831768502451
2025-10-20 00:09:19.972425+00:00,-0.00826675619620014,-0.9932398781243778,35786.99512998332,0.10647289616622453
2025-10-20 01:09:19.972425+00:00,-0.01240852238788948,-0.9942504267646395,35787.54344809681,0.10646826220184066
2025-10-20 02:09:19.972425+00:00,-0.01574849747755287,-0.9956127533664781,35787.97673978239,0.10646473209885504
2025-10-20 03:09:19.972425+00:00,-0.018060580621067416,-0.9972336196291384,35788.265194838634,0.1064625471543096
2025-10-20 04:09:19.972425+00:00,-0.019185263704441603,-0.9990020689582032,35788.38892503278,0.10646185743988555
2025-10-20 05:09:19.972425+00:00,-0.01904062893016663,-1.0007970011841691,35788.33932536435,0.1064627117220664
2025-10-20 06:09:19.972425+00:00,-0.01762832120290777,-1.002495425656795,35788.11966312151,0.10646505414764108
2025-10-20 07:09:19.972425+00:00,-0.015034063490643483,-1.0039808383026914,35787.74485456259,0.10646872789974583
